File.Name;Md5;Time;Size;Precursors.Identified;Proteins.Identified;Total.Quantity;MS1.Signal;MS2.Signal;FWHM.Scans;FWHM.RT;Median.Mass.Acc.MS1;Median.Mass.Acc.MS1.Corrected;Median.Mass.Acc.MS2;Median.Mass.Acc.MS2.Corrected;MS2.Mass.Instability;Normalisation.Instability;Median.RT.Prediction.Acc;Average.Peptide.Length;Average.Peptide.Charge;Average.Missed.Tryptic.Cleavages
p33212/Proteomics/FUSION_2/chiawei_20231124/20231124_002_S580219_K562_incl_iRT_autoQC03dia.raw;f20ddb062bddf469470d585eae14fb56;1700904608;243075842;36211;3970;3.26559e+10;221944987648;212684505088;1.744;0.116;0.313854;0.292269;2.20893;2.0499;0.3;0;0.500762;12.028;2.183;0.086
p33212/Proteomics/FUSION_2/chiawei_20231124/20231124_002_S580219_K562_incl_iRT_1_autoQC03dia.raw;be8d23671a15e442eb3d5e81b47e590b;1700909107;244381846;36515;3916;3.33774e+10;228209721344;216427692032;1.769;0.118;0.324148;0.283839;2.19059;1.96808;0.2;0;0.508858;12.039;2.181;0.086
p33212/Proteomics/FUSION_2/chiawei_20231124/20231124_002_S580219_K562_incl_iRT_2_autoQC03dia.raw;b9e22f9e3a0c35f96519fd47175c94c6;1700913308;245303690;35208;3799;3.22609e+10;228502487040;217048563712;1.739;0.116;0.327984;0.283652;2.16104;1.89473;0.2;0;0.495334;12.05;2.187;0.088
p33212/Proteomics/FUSION_2/chiawei_20231124/20231124_002_S580219_K562_incl_iRT_3_autoQC03dia.raw;2726ac7a5a2ac52a8711bca5ca111a8c;1700917508;243303896;36774;3960;3.37144e+10;225319190528;213201731584;1.771;0.118;0.319397;0.293304;2.08609;1.96356;0.3;0;0.512726;12.016;2.183;0.085
p3000/Proteomics/EXPLORIS_2/analytic_20231124/20231124_C3000_023_autoQC03dia_2ul.raw;e0861e971766e398d482ec5ebe702134;1701011409;689080949;42267;4241;1.63127e+11;648419540992;1130849107968;3.262;0.158;1.57958;1.20633;5.67452;2.47415;1.6;0;0.48485;12.815;2.289;0.094
p3000/Proteomics/EXPLORIS_2/analytic_20231124/20231124_C3000_024_autoQC03dia_2ul.raw;4fbde1e5594620426ddebb522ed2fbeb;1701015909;681455585;43305;4315;1.67896e+11;638790270976;1107579895808;3.304;0.16;1.67421;1.23403;4.73601;2.1714;1.2;0;0.491824;12.82;2.296;0.096
p3000/Proteomics/EXPLORIS_2/analytic_20231124/20231124_C3000_025_autoQC03dia_2ul.raw;b2149a3b46938482e795a1e2403286b8;1701020109;667744345;42144;4237;1.57192e+11;602169081856;1044614545408;3.306;0.16;1.65251;1.11221;5.39468;2.24123;1.5;0;0.519165;12.819;2.297;0.097
p33212/Proteomics/LUMOS_2/tobiasko_20231128/20231128_002_S580219_K562_incl_iRT_autoQC03dia.raw;dc56974885479e8a8c5cbcac05048933;1701176708;366136146;42380;4628;1.18925e+11;715805032448;803314663424;2.643;0.166;0.591706;0.262407;3.75579;3.6486;1.2;0;0.57174;12.161;2.156;0.068
p33212/Proteomics/LUMOS_2/tobiasko_20231128/20231128_003_S580219_K562_incl_iRT_autoQC03dia.raw;53cfd45838b5322636fb80062687b6b9;1701181208;358430778;40966;4486;1.0934e+11;683752357888;767693029376;2.582;0.162;0.655879;0.287196;3.92749;3.85242;1.3;0;0.574283;12.181;2.154;0.07
p33212/Proteomics/LUMOS_2/tobiasko_20231128/20231128_004_S580219_K562_incl_iRT_autoQC03dia.raw;424a790efc264801594d2f674b2281f8;1701185408;359505564;41802;4535;1.19716e+11;696143642624;782001373184;2.691;0.169;0.605958;0.277186;3.82836;3.75629;1.3;0;0.568209;12.154;2.154;0.068
p33383/Proteomics/TIMSTOF_1/spfammatter_20231128_/zip/20231128_001_autoQC03diaPASEF.d.zip;990b36a912d2bccca6071c1190a1e705;1701197111;1384527903;27865;4005;3.65132e+08;9206528486;215868627480;2.75;0.082;2.04681;1.63539;2.64932;2.62907;0;0;0.391686;10.848;2.141;0.082
p33383/Proteomics/TIMSTOF_1/spfammatter_20231128_/zip/20231128_002_autoQC03diaPASEF.d.zip;2147c5d7dcfaa9acfa795a40a7375d2d;1701204311;1436826655;33028;4315;4.43501e+08;9471626163;226362033034;2.702;0.081;2.09635;1.66254;2.82027;2.87704;0;0;0.424959;11.195;2.152;0.083
p3000/Proteomics/FUSION_2/chiawei_20231128/20231128_003_autoQC03dia.raw;f1c45b9794d6afeb680f2d3f22dacc52;1701230408;239433614;27038;3612;3.24486e+10;163928014848;202750050304;2.067;0.138;0.312501;0.257726;8.66352;2.01569;0;0;0.512686;11.243;2.087;0.044
p3000/Proteomics/FUSION_2/chiawei_20231128/20231129_005_autoQC03dia.raw;97075a99a6170973e254016a353f7d0a;1701309008;282052572;31225;3829;5.56013e+10;277403271168;314208911360;2.545;0.17;0.324148;0.288936;8.68108;2.04898;0.4;0;0.523824;11.525;2.131;0.066
p33212/Proteomics/LUMOS_1/roschi_20231202_K562_DIA_autoQC/20231202_002_S580219_K562_incl_iRT_1_autoQC03dia.raw;bcea2386f0ffa35b0126c5472982c189;1701483908;222468972;30446;3573;2.93546e+10;510177116160;231084212224;1.743;0.109;0.172217;0.160128;2.54639;2.51158;0.3;0;0.503752;11.26;2.196;0.101
p33212/Proteomics/LUMOS_1/roschi_20231202_K562_DIA_autoQC/20231202_005_S580219_K562_incl_iRT_1_autoQC03dia.raw;7fca675530b65a4f3059bdddd5809214;1701488108;219768184;31678;3587;3.23944e+10;464474177536;229609046016;1.795;0.112;0.163326;0.161447;2.71117;2.67464;0.3;0;0.52544;11.238;2.201;0.101
p33212/Proteomics/LUMOS_1/roschi_20231202_K562_DIA_autoQC/20231202_007_S580219_K562_incl_iRT_2_autoQC03dia.raw;b9f0bc0319bde08e8b0451e9bee0fc79;1701492608;227864310;34669;3671;3.56488e+10;485426954240;252447604736;1.786;0.112;0.16593;0.145962;2.46666;2.48683;0.4;0;0.542091;11.552;2.204;0.099
p33212/Proteomics/EXPLORIS_1/analytic_20231203/20231203_C33212_011_autoQC03dia.raw;07e5e5bbbc6f90c7f3cf04c4fdbe3525;1701727809;540456933;41934;4470;7.72735e+10;367762571264;473294405632;2.865;0.139;1.05508;0.429229;3.05729;2.39369;0.9;0;0.770457;12.149;2.14;0.069
p33544/Proteomics/LUMOS_1/roschi_20231203_new_yeast_DDA_OT_OT/20231203_013_autoQC03dia.raw;330022686c5c5d1968712c99ce267cf5;1701757508;250987930;30453;3610;3.77584e+10;669516824576;332968460288;1.876;0.117;0.187501;0.167956;2.63283;2.67515;0.5;0;0.587556;10.907;2.115;0.093
p33383/Proteomics/TIMSTOF_1/spfammatter_20231205_/zip/20231205_001_autoQC03dia.d.zip;3aac8e098c3da51758bbcaaf5b9770da;1701809710;1375870717;41864;4566;4.49482e+08;9905539230;287582740896;2.687;0.08;1.88531;1.69975;3.13439;2.99613;0;0;0.449806;12.495;2.215;0.085
p33383/Proteomics/TIMSTOF_1/spfammatter_20231205_/zip/20231205_013_autoQC03dia.d.zip;c8972170d375270110c977c6dec8e2b4;1701845710;1330245375;41110;4624;4.54414e+08;9252679551;260443790784;2.605;0.078;1.88846;1.61186;2.95118;2.64505;0;0;0.417915;12.347;2.203;0.086
p33584/Proteomics/TIMSTOF_1/wente_20231206_/zip/20231206_001_autoQC03dia.d.zip;1439b389816a654c210d0e222fd65d82;1701893710;1518796053;33687;4033;3.95398e+08;14652632089;321245299760;3.21;0.096;1.93369;1.73144;3.11748;2.79642;0;0;0.410904;12.533;2.2;0.08
p33584/Proteomics/TIMSTOF_1/wente_20231206_/zip/20231206_004_autoQC03dia.d.zip;50e2aee89cb906f85397aff874adf9ab;1701900910;1278724165;33924;3957;2.92649e+08;10810941572;258993969964;2.658;0.079;2.04546;1.79016;3.26098;2.90279;0;0;0.410263;12.755;2.21;0.075
p33611/Proteomics/EXPLORIS_2/analytic_20231205/20231205_C33611_014_autoQC03dia.raw;23138719079d34d880d3229ab3986f5e;1701903008;247342755;31;0;2.73321e+07;54822977536;78090043392;3.037;0.148;0.337501;0.240851;4.01975;3.82902;0.2;0;0.727611;19.87;2.741;0.193
p33212/Proteomics/LUMOS_2/cfortes_20231206/20231206_001_S580219_K562_incl_iRT_autoQC03dia.raw;0ad264e4ccb8a8cbc3bd0426c99c5e25;1701954008;318323000;43659;4180;7.30339e+10;480063684608;522975215616;2.102;0.132;0.602575;0.263138;8.16909;3.95517;1.2;0;0.52536;12.469;2.196;0.096
p33212/Proteomics/LUMOS_2/cfortes_20231206/20231206_002_S580219_K562_incl_iRT_autoQC03dia.raw;781b48666bdf917b36bf8de8dbbfdd5a;1701958209;312569858;42328;4102;6.87363e+10;463474491392;498167742464;2.094;0.131;0.626114;0.27131;8.34896;3.81038;1.4;0;0.518268;12.455;2.193;0.094
p33212/Proteomics/LUMOS_2/cfortes_20231206/20231206_003_S580219_K562_incl_iRT_autoQC03dia.raw;c335a370724a03e5a8961d24f79ad915;1701962708;306249914;40845;4074;6.83675e+10;432109420544;478512381952;2.139;0.134;0.604507;0.273196;7.99641;4.09298;1.4;0;0.491731;12.521;2.198;0.093
p33437/Proteomics/EXPLORIS_2/analytic_20231207/20231207_C33437_017_autoQC03dia.raw;5241449ce6686a2e9d523cb5d448a3de;1702047609;420376461;25236;3153;2.92568e+10;315718795264;299553718272;3.089;0.15;0.341408;0.30115;2.22332;2.01855;0.4;0;0.467027;11.678;2.253;0.083
p33383/Proteomics/TIMSTOF_1/spfammatter_20231208_/zip/20231208_017_autoQC03dia.d.zip;9c17f7ccb2da84542b55ce04a2ecf093;1702082712;1419789433;22506;3375;2.07159e+08;11950804894;278259219072;3.127;0.093;2.00173;1.75854;3.29167;3.0282;0;0;0.442079;13.295;2.237;0.073
p33591/Proteomics/FUSION_2/hasanali_20231208/20231208_011_autoQC03dia_1.raw;3a01ebbe9de61d17f2791121d3b5c791;1702083308;225508498;20226;3263;2.77949e+10;124300550144;170277634048;2.597;0.174;0.314727;0.30756;2.52364;2.38346;0.6;0;0.578369;12.986;2.202;0.064
p33591/Proteomics/FUSION_2/hasanali_20231208/20231208_011_autoQC03dia_2.raw;7c376a17977629d4fa1b4065db3f6373;1702087808;228605996;19142;3136;2.73454e+10;136103198720;183568596992;2.509;0.168;0.321048;0.314895;2.52022;2.34649;0.6;0;0.549637;12.932;2.205;0.066
p33591/Proteomics/FUSION_2/hasanali_20231208/20231208_011_autoQC03dia_3.raw;8f083d4963dec0514330f25d05ed77a8;1702092008;221310656;19471;3240;2.59178e+10;124992020480;173922402304;2.597;0.174;0.312811;0.303024;2.49224;2.43569;0.5;0;0.527127;12.86;2.19;0.066
p33563/Proteomics/TIMSTOF_1/alleblond_20231208_/zip/20231208_006_autoQC03dia.d.zip;72312a0644cca9263d34938507977d3f;1702104310;1223824499;34723;4169;3.43469e+08;9900958308;234483149630;2.939;0.088;1.94994;1.70043;3.25931;2.84887;0;0;0.391284;12.36;2.211;0.078
p33658/Proteomics/LUMOS_2/analytic_20231208/20231208_C33658_006_autoQC03dia.raw;2ffbdf473242ae8be44853c83196a456;1702115110;167541450;0;0;0;45790912512;61746130944;0;0;0;0;0;0;0;0;2.07944;0;0;0
p3000/Proteomics/EXPLORIS_2/analytic_20231211/20231211_004_autoQC03dia.raw;f24bf12a17f833b7e54615dd49ce1f27;1702332009;618503755;38845;3955;9.66083e+10;763509080064;714018390016;3.248;0.157;0.397839;0.358388;2.55694;2.13032;0.3;0;0.502858;12.702;2.35;0.098
p33665/Proteomics/FUSION_2/aeberle_20231212/20231212_001_autoQC03dia.raw;325fe82b57a964dbcb8a521aa515cdb9;1702385708;231799596;24734;3227;2.68312e+10;159826657280;200097611776;2.12;0.142;0.301505;0.293835;3.92186;2.1796;0.5;0;0.493886;12.876;2.248;0.077
p3000/Proteomics/LUMOS_1/roschi_20231212_autoQC/20231212_005_autoQC03dia.raw;1f29418f4713335e56251ac7d1e0ac73;1702398308;228212532;24013;3247;2.61473e+10;578525003776;241493934080;1.833;0.115;0.17112;0.163475;2.86169;2.27706;0.4;0;0.583113;10.579;2.073;0.067
p33732/Proteomics/EXPLORIS_2/analytic_20231213/20231213_C33732_027_autoQC03dia.raw;ae542a85fd4f250294acee89463c94b0;1702567812;551888685;32142;3463;5.71511e+10;782623309824;549660164096;3.093;0.15;0.321294;0.314999;2.34643;2.05981;0.3;0;0.503477;12.434;2.349;0.096
p33212/Proteomics/FUSION_2/chiawei_20231215/20231215_002_autoQC03dia_1.raw;0d99e6b46af9969c1115e1b927c2e2b9;1702639808;154314184;0;0;0;40577605632;83164635136;0;0;0.363979;0.271455;5.07478;2.00743;0;0;3.84403;0;0;0
p33212/Proteomics/FUSION_2/chiawei_20231215/20231215_002_autoQC03dia_1_20231215122111.raw;c96af931f5b40a859174df6c64278839;1702644009;269077186;33690;4096;4.41831e+10;238943027200;286350049280;2.107;0.141;0.297949;0.293822;5.42928;2.12012;0.4;0;0.51482;11.903;2.132;0.059
p33212/Proteomics/FUSION_2/chiawei_20231215/20231215_003_autoQC03dia_2.raw;97883787c8934c96470c9724cc04d658;1702648514;299606794;36434;4154;5.65033e+10;323750952960;370326700032;2.123;0.142;0.310191;0.281811;5.70987;2.01;0.5;0;0.494643;11.921;2.139;0.064
p33212/Proteomics/FUSION_2/chiawei_20231215/20231215_004_autoQC03dia_3.raw;f1300e45949ed4b0493e78c01a4dccb3;1702652708;276921256;34502;4001;4.65286e+10;259143303168;307139641344;2.076;0.138;0.302386;0.305894;5.47279;1.93777;0.5;0;0.520935;11.904;2.138;0.063
p33212/Proteomics/FUSION_2/chiawei_20231215/20231215_004_autoQC03dia_4.raw;d41e837dc9428653b669c905e9c09af6;1702656908;278795406;35505;4112;4.70079e+10;261211996160;304746397696;2.081;0.139;0.304699;0.298476;5.3919;2.29647;0.5;0;0.491984;11.877;2.137;0.065
p33709/Proteomics/EXPLORIS_2/analytic_20231215/20231215_C33709_018_autoQC03dia.raw;136f1da4625e5fcb979810d34d7daba8;1702800308;571617045;31045;3589;6.32705e+10;775170359296;602801635328;3.262;0.158;0.359259;0.341298;2.47979;2.21863;0.3;0;0.48876;12.307;2.313;0.095
p33670/Proteomics/TIMSTOF_1/analytic_20231215/zip/20231215_001_autoQC03dia.d.zip;531964a3b35b1278c873c2ef57b7c403;1702822210;1452732509;45692;4870;6.00161e+08;12355277553;348054889032;3.156;0.094;2.80882;1.67845;3.74705;3.08936;0;0;0.442226;13.082;2.256;0.088
p33662/Proteomics/TIMSTOF_1/analytic_20231215/zip/20231215_004_autoQC03dia.d.zip;54f53d8de0c5022a32da59d7d25120d5;1702862111;1408084065;44081;4767;5.57747e+08;12188509774;334320423768;3.065;0.091;2.60834;1.72304;3.66979;2.69381;0;0;0.467349;13.112;2.259;0.089
p33720/Proteomics/LUMOS_2/analytic_20231214/20231214_C33720_012_autoQC03dia.raw;73179f709764a6fcd4d04159a830a24d;1702879508;337848808;37340;4446;8.20227e+10;520403124224;589276381184;2.332;0.146;0.321257;0.278814;3.20717;2.30795;0.5;0;0.503839;12.687;2.2;0.098
p33383/Proteomics/TIMSTOF_1/heinzmann_20231218_/zip/20231218_001_autoQC03dia.d.zip;d58f50722874fd187608c5efc051a8f7;1702905310;1026317609;36109;4215;3.87267e+08;7859400245;218304731244;3.146;0.094;2.49743;1.66364;2.87382;2.8405;0;0;0.408363;12.437;2.222;0.083
p24073/Proteomics/EXPLORIS_1/wilkin_20231124_20231124_Dec13_24073_SW/20231124_078_autoQC03dia.raw;12bb71b708a90722051a331619808fad;1702923008;463705585;38012;4068;5.51644e+10;406657662976;372595687424;2.686;0.13;0.608388;0.33285;3.2461;2.53849;0.4;0;0.502075;12.23;2.253;0.094
p33383/Proteomics/TIMSTOF_1/heinzmann_20231218_/zip/20231218_008_autoQC03dia.d.zip;a5498106b163f25706485b0dfa16e5b7;1702963519;5064170757;19517;2773;3.1526e+08;8911892445;2565323791904;3.344;0.1;2.2593;1.52466;2.43173;2.3686;0;0;0.442968;12.333;2.209;0.074
p33773/Proteomics/EXPLORIS_2/analytic_20231219/20231219_C33773_018_autoQC03dia.raw;9848a45811be303eb4e625029795ef44;1703075709;633422865;33528;3715;9.39908e+10;827706966016;779062804480;3.673;0.178;0.372159;0.350532;2.35015;2.00855;0.3;0;0.477691;12.228;2.251;0.091
p29033/Proteomics/TIMSTOF_1/radhika_20231219_primaryhepatocytes_DIA/zip/20231219_002_autoQC03dia.d.zip;0756c5e0bd55839a4e7665a99a8bce20;1703163322;6592018121;18247;2637;3.10127e+08;11143659417;3199890469032;3.328;0.099;2.47812;1.48123;2.64877;2.50093;0;0;0.389053;12.2;2.195;0.074
p29033/Proteomics/TIMSTOF_1/radhika_20231219_primaryhepatocytes_DIA/zip/20231219_003_autoQC03dia.d.zip;75df1bd15b4c312900702f2002665eda;1703163337;6671188505;18949;2728;3.31934e+08;11140125974;3268493781088;3.448;0.103;2.43329;1.51083;2.40925;2.43928;0;0;0.408473;12.238;2.203;0.075
p29033/Proteomics/TIMSTOF_1/radhika_20231219_primaryhepatocytes_DIA/zip/20231219_013_autoQC03dia.d.zip;b4fe40965c5b7e470a24586bc82b1d27;1703163355;8061262363;18849;2766;3.35647e+08;12524247618;3950110038184;3.485;0.104;4.24863;1.50929;2.95068;2.11163;0;0;0.399701;12.198;2.206;0.078
p33665/Proteomics/FUSION_2/aeberle_20231219/20231219_005_autoQC03dia.raw;c3f5c1647da02ea16251ca9a09d6dfeb;1703170812;233780584;27241;3398;2.84099e+10;165803114496;235866587136;2.155;0.143;0.312662;0.271435;7.3391;2.01534;0.4;0;0.500355;11.841;2.164;0.067
p33652/Proteomics/EXPLORIS_2/analytic_20231220/20231220_C33652_021_autoQC03dia.raw;5e88b3d75a6267c1f0546ca581050d5e;1703201128;570127611;21728;2963;5.08983e+10;694958555136;554958520320;4.636;0.225;0.352286;0.332887;2.1204;1.9614;0.4;0;0.532305;11.845;2.165;0.061
p29033/Proteomics/TIMSTOF_1/radhika_20231219_primaryhepatocytes_fractions_DDA/zip/20231219_027_autoQC03dia.d.zip;5b2bc4208b3cbd38418a2fff313ce224;1703754324;7427781187;19274;2830;3.3774e+08;11582205113;3576474042592;3.435;0.103;5.22646;1.44265;4.18576;2.13651;0;0;0.384985;12.153;2.205;0.079
p29033/Proteomics/TIMSTOF_1/radhika_20231219_primaryhepatocytes_fractions_DDA/zip/20231219_053_autoQC03dia.d.zip;345b7c1eaba562c0d9f49627ab665a10;1703754340;7339073091;20216;2735;3.39605e+08;11701201341;3475153529664;3.392;0.101;3.67286;1.46252;2.76716;2.23878;0;0;0.434386;12.576;2.226;0.074
p3000/Proteomics/EXPLORIS_1/spfammatter_20240103/20240103_004_autoQC03dia.raw;3657cafd265edb0c9b732831d32fb9bb;1704294309;754285975;50320;4743;1.67461e+11;1218121302016;1131177836544;2.737;0.132;0.358808;0.345696;2.68389;2.32867;0.4;0;0.531982;12.792;2.275;0.104
p33212/Proteomics/LUMOS_2/cfortes_20240103/20240103_004_autoQC03dia.raw;46dcf74af231e0f103be9f981cb87fff;1704308718;176202768;14169;2214;1.35938e+10;209119084544;148371210240;2.099;0.131;0.455211;0.399847;3.63459;3.24065;0;0;0.519042;12.489;2.162;0.078
p3000/Proteomics/FUSION_2/chiawei_20240103/20240103_006_autoQC03dia.raw;bdab76c0c107efdf0f1c0b692c6528c1;1704330319;235312546;31256;3713;2.87912e+10;212125286400;260939595776;1.829;0.122;0.305002;0.297603;3.59236;1.91982;0.4;0;0.507424;12.039;2.199;0.074
p3000/Proteomics/FUSION_2/chiawei_20240103/20240103_007_autoQC03dia.raw;ad3f1504add296e4c51b8fe267c1ddaf;1704333908;231662612;31630;3614;2.75158e+10;161657257984;221131194368;1.813;0.121;0.295681;0.285285;3.44829;1.88202;0.3;0;0.521306;12.08;2.206;0.078
p3000/Proteomics/FUSION_2/chiawei_20240103/20240103_008_autoQC03dia.raw;17c68c54766418a3dfc6e7595b101eb3;1704337508;313139424;43697;4337;6.40779e+10;330319921152;386158559232;1.88;0.125;0.316084;0.315214;3.0011;1.82388;0.5;0;0.50435;12.191;2.215;0.088
p33212/Proteomics/LUMOS_2/cfortes_20240104/20240104_005_autoQC03dia.raw;c2f33dbc11849bdc10d2887c15660248;1704377108;174369758;15271;2295;1.32837e+10;197858656256;139236245504;2.041;0.127;0.416077;0.354317;4.14387;3.18057;0;0;0.501999;12.319;2.151;0.078
p3000/Proteomics/EXPLORIS_2/analytic_20240104/20240104_004_autoQC03dia.raw;c3e54139099c10ba9bce9573313ecb89;1704384310;551141109;28916;3570;7.88831e+10;257042251776;555362091008;4.242;0.206;1.52816;1.18875;2.74251;2.27038;1.4;0;0.521076;12.499;2.21;0.069
p3000/Proteomics/FUSION_2/chiawei_20240104/20240104_006_autoQC03dia.raw;3544d736792d6934900c12432d00215d;1704391520;305592512;42632;4392;6.49023e+10;300092030976;387473375232;1.924;0.128;0.327959;0.330321;3.23725;1.88843;0.5;0;0.530026;12.156;2.197;0.081
p3000/Proteomics/EXPLORIS_2/analytic_20240104/20240104_008_autoQC03dia.raw;94dd0e37daef13331d533a0146119d1b;1704395108;541277041;29313;3619;7.65417e+10;257372700672;538604765184;4.169;0.202;1.60619;1.20982;2.98231;2.50617;1.3;0;0.496412;12.391;2.203;0.069
p3000/Proteomics/FUSION_2/chiawei_20240104/20240104_007_autoQC03dia.raw;bcb59aa5709879f16b7ff4ac4f33792a;1704395109;303113302;43561;4388;6.44203e+10;294404292608;375734042624;1.922;0.128;0.352132;0.359995;3.41161;1.8224;0.5;0;0.510209;12.11;2.202;0.085
p3000/Proteomics/LUMOS_1/pgehrig_20240104_autoQC/20240104_03_autoQC03dia.raw;dd75ba1fad9d5bfc271c16430017a1e0;1704395110;151220112;7;0;5.20543e+06;48181116928;54210355200;2.514;0.158;0.166442;0.18282;4.93971;3.3866;0;0;1.47358;14.714;2.714;0
p3000/Proteomics/EXPLORIS_2/analytic_20240104/20240104_009_autoQC03dia.raw;91a045264e4e9cec79bcccff19ba911e;1704398764;532381857;29107;3642;7.46359e+10;259362619392;524136710144;4.111;0.2;1.55504;1.14892;2.69538;2.10207;1.4;0;0.491355;12.385;2.199;0.067
